feature,coefficient
Perimeter,-2.418125892317357
MinorAxisLength,1.0347992893139335
ConvexArea,-0.7078252206939057
MajorAxisLength,-0.7023138846367765
Area,-0.3187220422698549
Extent,0.08378678190739422
Eccentricity,-0.04790903178891931
