feature,coefficient
Perimeter,-2.4181258923173607
MinorAxisLength,1.034799289313939
ConvexArea,-0.7078252206939095
MajorAxisLength,-0.7023138846367735
Area,-0.3187220422698588
Extent,0.08378678190739333
Eccentricity,-0.047909031788917034
