feature,coefficient
Unnamed: 0,-5.747072646618314
Area,-0.7135811629851012
MajorAxisLength,-0.6296962658095686
Perimeter,-0.4178528766109542
Eccentricity,-0.3835325257592833
ConvexArea,-0.28345889400721536
MinorAxisLength,-0.12204833592084899
Extent,0.12064638146885118
