,precision,recall,f1-score,support
Besni,0.9506172839506173,0.8651685393258427,0.9058823529411765,89.0
Kecimen,0.8787878787878788,0.9560439560439561,0.9157894736842105,91.0
accuracy,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111
macro avg,0.914702581369248,0.9106062476848994,0.9108359133126935,180.0
weighted avg,0.9143035291183439,0.9111111111111111,0.910890952872377,180.0
